date,time,temperature,hive,heat up
2020/10/2,2020/10/2 15:14,36.1,B,1
2020/10/2,2020/10/2 15:19,36.1,B,1
2020/10/2,2020/10/2 15:24,36.1,B,1
2020/10/2,2020/10/2 15:29,36.1,B,1
2020/10/2,2020/10/2 15:34,36.1,B,1
2020/10/2,2020/10/2 15:39,36.1,B,1
2020/10/2,2020/10/2 15:44,36.1,B,1
2020/10/2,2020/10/2 15:49,36.1,B,1
2020/10/2,2020/10/2 15:54,36.1,B,1
2020/10/2,2020/10/2 15:59,36.1,B,1
2020/10/3,2020/10/3 06:04,30.1,B,0
2020/10/3,2020/10/3 06:09,30.1,B,0
2020/10/3,2020/10/3 06:14,30.1,B,0
2020/10/3,2020/10/3 06:19,30.1,B,0
2020/10/3,2020/10/3 06:24,30.1,B,0
2020/10/3,2020/10/3 06:29,30.1,B,0
2020/10/3,2020/10/3 06:34,30.1,B,0
2020/10/3,2020/10/3 06:39,30.6,B,0
2020/10/3,2020/10/3 06:44,30.6,B,0
2020/10/3,2020/10/3 06:49,30.6,B,0
2020/10/3,2020/10/3 06:54,31.1,B,0
2020/10/3,2020/10/3 06:59,31.1,B,0
2020/10/3,2020/10/3 07:04,31.1,B,0
2020/10/3,2020/10/3 07:09,31.1,B,0
2020/10/3,2020/10/3 07:14,31.6,B,0
2020/10/3,2020/10/3 07:19,31.6,B,0
2020/10/3,2020/10/3 07:24,31.6,B,0
2020/10/3,2020/10/3 07:29,31.6,B,0
2020/10/3,2020/10/3 07:34,32.1,B,0
2020/10/3,2020/10/3 07:39,32.1,B,0
2020/10/3,2020/10/3 07:44,32.1,B,0
2020/10/3,2020/10/3 07:49,32.1,B,0
2020/10/3,2020/10/3 07:54,32.1,B,0
2020/10/3,2020/10/3 07:59,32.6,B,0
2020/10/3,2020/10/3 08:04,32.6,B,0
2020/10/3,2020/10/3 08:09,32.6,B,0
2020/10/3,2020/10/3 08:14,32.6,B,0
2020/10/3,2020/10/3 08:19,32.6,B,0
2020/10/3,2020/10/3 08:24,33.1,B,0
2020/10/3,2020/10/3 08:29,33.1,B,0
2020/10/3,2020/10/3 08:34,33.1,B,0
2020/10/3,2020/10/3 08:39,33.1,B,0
2020/10/3,2020/10/3 08:44,33.1,B,0
2020/10/3,2020/10/3 08:49,33.1,B,0
